YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,5,2
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,5,3
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,19,14
1950,22,17
1951,25,20
1952,32,26
1953,25,20
1954,18,15
1955,19,16
1956,14,12
1957,22,19
1958,12,10
1959,19,17
1960,13,12
1961,13,12
1962,8,7
1963,11,10
1964,42,38
1965,81,74
1966,78,72
1967,70,65
1968,54,50
1969,48,45
1970,33,31
1971,43,41
1972,22,21
1973,28,27
1974,26,25
1975,17,16
1976,13,12
1977,17,16
1978,15,14
1979,22,21
1980,25,24
1981,23,22
1982,21,20
1983,15,15
1984,12,12
1985,11,11
1986,17,17
1987,10,10
1988,13,13
1989,18,18
1990,20,20
1991,23,23
1992,15,15
1993,19,19
1994,7,7
1995,22,22
1996,12,12
1997,17,17
1998,23,23
1999,29,29
2000,21,21
2001,24,24
2002,48,48
2003,37,37
2004,50,50
2005,59,58
2006,58,58
2007,65,65
2008,72,71
2009,82,81
2010,95,94
2011,80,80
2012,60,60
2013,60,60
2014,62,62
2015,64,64
2016,67,67
2017,63,63
2018,73,73
2019,68,68
2020,82,82
