YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5,1
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,5,1
1933,8,2
1934,0,0
1935,5,2
1936,0,0
1937,6,3
1938,0,0
1939,0,0
1940,9,5
1941,0,0
1942,0,0
1943,0,0
1944,8,5
1945,10,7
1946,19,13
1947,21,15
1948,29,21
1949,21,16
1950,28,22
1951,19,15
1952,19,15
1953,21,17
1954,34,28
1955,33,27
1956,77,65
1957,61,52
1958,45,39
1959,48,42
1960,44,39
1961,29,26
1962,62,56
1963,48,43
1964,75,68
1965,80,73
1966,78,72
1967,79,73
1968,62,58
1969,57,53
1970,66,62
1971,83,78
1972,46,44
1973,28,27
1974,38,36
1975,29,28
1976,24,23
1977,17,16
1978,21,20
1979,34,33
1980,32,31
1981,24,23
1982,33,32
1983,27,26
1984,29,28
1985,29,28
1986,18,18
1987,11,11
1988,16,16
1989,15,15
1990,18,18
1991,13,13
1992,17,17
1993,23,23
1994,11,11
1995,13,13
1996,13,13
1997,11,11
1998,14,14
1999,16,16
2000,15,15
2001,9,9
2002,15,15
2003,21,21
2004,21,21
2005,12,12
2006,20,20
2007,21,21
2008,16,16
2009,15,15
2010,18,18
2011,17,17
2012,21,21
2013,13,13
2014,18,18
2015,18,18
2016,16,16
2017,16,16
2018,15,15
2019,8,8
2020,7,7
