YOB,Born,Alive
1900,43,0
1901,19,0
1902,48,0
1903,46,0
1904,42,0
1905,47,0
1906,43,0
1907,41,0
1908,73,0
1909,77,0
1910,85,0
1911,73,0
1912,104,0
1913,89,0
1914,115,0
1915,120,1
1916,131,1
1917,102,1
1918,146,1
1919,136,1
1920,127,1
1921,151,4
1922,150,7
1923,127,8
1924,121,10
1925,125,12
1926,87,10
1927,117,16
1928,100,15
1929,76,13
1930,94,18
1931,69,15
1932,77,20
1933,85,25
1934,53,17
1935,81,29
1936,57,23
1937,51,22
1938,56,26
1939,48,24
1940,77,41
1941,47,26
1942,53,31
1943,45,27
1944,42,27
1945,48,32
1946,52,35
1947,47,33
1948,45,33
1949,43,32
1950,43,33
1951,42,33
1952,31,25
1953,47,38
1954,25,21
1955,26,22
1956,30,25
1957,24,21
1958,25,22
1959,10,9
1960,12,11
1961,19,17
1962,17,15
1963,19,17
1964,19,17
1965,19,17
1966,11,10
1967,16,15
1968,11,10
1969,10,9
1970,8,8
1971,9,8
1972,13,12
1973,22,21
1974,11,10
1975,17,16
1976,14,13
1977,17,16
1978,24,23
1979,14,14
1980,17,16
1981,14,14
1982,22,21
1983,12,12
1984,16,16
1985,7,7
1986,18,18
1987,0,0
1988,11,11
1989,15,15
1990,15,15
1991,20,20
1992,19,19
1993,28,28
1994,29,29
1995,25,25
1996,34,34
1997,30,30
1998,38,38
1999,33,33
2000,72,71
2001,75,74
2002,66,65
2003,58,57
2004,65,64
2005,74,73
2006,100,99
2007,116,115
2008,141,140
2009,140,139
2010,166,165
2011,192,191
2012,221,220
2013,258,257
2014,336,334
2015,449,447
2016,618,615
2017,813,809
2018,1048,1043
2019,1317,1311
2020,1592,1585
