YOB,Born,Alive
1900,41,0
1901,23,0
1902,24,0
1903,29,0
1904,32,0
1905,37,0
1906,43,0
1907,43,0
1908,38,0
1909,58,0
1910,61,0
1911,56,0
1912,71,0
1913,76,0
1914,89,0
1915,111,1
1916,122,1
1917,104,1
1918,151,1
1919,158,1
1920,200,2
1921,197,5
1922,184,8
1923,169,11
1924,202,16
1925,197,20
1926,190,22
1927,191,26
1928,192,29
1929,173,30
1930,156,30
1931,136,31
1932,120,31
1933,132,39
1934,103,34
1935,100,36
1936,104,41
1937,102,44
1938,92,43
1939,94,47
1940,86,46
1941,94,53
1942,92,54
1943,100,61
1944,107,68
1945,111,73
1946,118,80
1947,124,87
1948,145,106
1949,110,83
1950,125,97
1951,69,54
1952,76,61
1953,105,85
1954,74,61
1955,57,47
1956,73,62
1957,89,76
1958,79,68
1959,66,58
1960,71,63
1961,62,55
1962,77,69
1963,63,57
1964,59,54
1965,55,50
1966,39,36
1967,71,66
1968,73,68
1969,68,64
1970,55,52
1971,62,58
1972,53,50
1973,62,59
1974,66,63
1975,72,69
1976,79,76
1977,72,69
1978,69,66
1979,65,63
1980,82,79
1981,68,66
1982,62,60
1983,52,51
1984,75,73
1985,64,62
1986,53,52
1987,55,54
1988,45,44
1989,40,39
1990,50,49
1991,72,71
1992,96,94
1993,69,68
1994,63,62
1995,58,57
1996,64,63
1997,87,86
1998,66,65
1999,56,55
2000,66,65
2001,82,81
2002,84,83
2003,77,76
2004,80,79
2005,64,63
2006,80,79
2007,68,67
2008,76,75
2009,61,61
2010,62,62
2011,73,73
2012,62,62
2013,57,57
2014,81,81
2015,63,63
2016,67,67
2017,77,77
2018,86,86
2019,69,69
2020,90,90
