YOB,Born,Alive
1900,408,0
1901,296,0
1902,338,0
1903,355,0
1904,406,0
1905,455,0
1906,498,0
1907,556,0
1908,579,0
1909,641,0
1910,806,0
1911,884,1
1912,1313,3
1913,1452,4
1914,1862,7
1915,2612,13
1916,3198,19
1917,3267,22
1918,3503,27
1919,3261,28
1920,3845,37
1921,4064,113
1922,3950,180
1923,4030,257
1924,4197,343
1925,3979,397
1926,3859,454
1927,3721,505
1928,3886,597
1929,3447,592
1930,3212,609
1931,2862,642
1932,2837,736
1933,2638,776
1934,2426,798
1935,2265,824
1936,2059,821
1937,1904,826
1938,1865,874
1939,1838,925
1940,1693,911
1941,1678,943
1942,1838,1076
1943,1793,1093
1944,1587,1005
1945,1447,950
1946,1649,1122
1947,1606,1131
1948,1387,1010
1949,1363,1024
1950,1258,975
1951,1236,972
1952,1245,993
1953,1366,1105
1954,4013,3293
1955,1499,1247
1956,1249,1053
1957,1350,1153
1958,1052,911
1959,1070,938
1960,1022,908
1961,906,809
1962,900,809
1963,853,771
1964,757,688
1965,600,548
1966,518,476
1967,480,444
1968,389,362
1969,343,321
1970,381,358
1971,315,297
1972,264,250
1973,265,251
1974,237,225
1975,206,197
1976,218,209
1977,205,197
1978,200,192
1979,189,182
1980,215,208
1981,204,198
1982,232,225
1983,180,175
1984,199,194
1985,201,196
1986,207,202
1987,179,175
1988,178,174
1989,193,189
1990,203,199
1991,232,228
1992,216,212
1993,170,167
1994,181,178
1995,153,151
1996,159,157
1997,160,158
1998,125,123
1999,171,169
2000,315,312
2001,206,204
2002,198,196
2003,191,189
2004,208,206
2005,204,202
2006,202,200
2007,181,180
2008,194,193
2009,169,168
2010,210,209
2011,151,150
2012,185,184
2013,172,171
2014,190,189
2015,236,235
2016,203,202
2017,190,189
2018,197,196
2019,189,188
2020,163,162
