YOB,Born,Alive
1900,9,0
1901,7,0
1902,8,0
1903,8,0
1904,0,0
1905,6,0
1906,13,0
1907,10,0
1908,12,0
1909,7,0
1910,16,0
1911,7,0
1912,23,0
1913,22,0
1914,24,1
1915,30,1
1916,30,1
1917,40,2
1918,43,2
1919,36,2
1920,40,3
1921,35,4
1922,52,7
1923,39,6
1924,34,7
1925,55,12
1926,32,8
1927,36,10
1928,45,14
1929,44,15
1930,42,16
1931,41,17
1932,24,11
1933,27,13
1934,30,15
1935,38,20
1936,34,19
1937,26,15
1938,39,24
1939,21,14
1940,26,18
1941,30,21
1942,34,24
1943,30,22
1944,36,27
1945,32,24
1946,27,21
1947,29,23
1948,35,28
1949,28,23
1950,29,25
1951,27,23
1952,26,22
1953,24,21
1954,39,34
1955,29,26
1956,36,32
1957,29,26
1958,36,33
1959,39,36
1960,38,35
1961,48,44
1962,38,35
1963,55,51
1964,54,50
1965,45,42
1966,45,42
1967,42,40
1968,55,52
1969,58,55
1970,74,71
1971,84,80
1972,94,90
1973,78,75
1974,83,80
1975,121,117
1976,98,95
1977,126,122
1978,125,121
1979,137,133
1980,241,235
1981,216,211
1982,175,171
1983,200,196
1984,197,193
1985,211,207
1986,193,189
1987,221,217
1988,273,268
1989,355,349
1990,473,466
1991,468,461
1992,439,433
1993,504,497
1994,573,566
1995,619,612
1996,622,615
1997,651,644
1998,864,855
1999,897,889
2000,944,936
2001,1161,1151
2002,1240,1230
2003,1296,1286
2004,1988,1973
2005,2059,2044
2006,1990,1976
2007,1974,1961
2008,1678,1667
2009,1476,1467
2010,1247,1240
2011,1061,1055
2012,1023,1018
2013,943,938
