YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,6,0
1915,9,0
1916,6,0
1917,8,0
1918,8,0
1919,8,1
1920,8,1
1921,11,1
1922,10,1
1923,7,1
1924,6,1
1925,14,3
1926,10,3
1927,22,6
1928,13,4
1929,15,5
1930,13,5
1931,15,6
1932,13,6
1933,12,6
1934,17,8
1935,27,14
1936,18,10
1937,17,10
1938,11,7
1939,18,12
1940,11,7
1941,11,8
1942,12,8
1943,7,5
1944,11,8
1945,8,6
1946,10,8
1947,13,10
1948,7,6
1949,11,9
1950,5,4
1951,13,11
1952,8,7
1953,5,4
1954,0,0
1955,12,11
1956,10,9
1957,8,7
1958,10,9
1959,7,6
1960,7,6
1961,0,0
1962,6,6
1963,8,7
1964,6,6
1965,8,7
1966,8,8
1967,6,6
1968,7,7
1969,12,11
1970,10,10
1971,11,11
1972,13,12
1973,20,19
1974,19,18
1975,16,15
1976,19,18
1977,32,31
1978,32,31
1979,95,92
1980,147,143
1981,123,120
1982,123,120
1983,111,109
1984,117,115
1985,156,153
1986,163,160
1987,196,192
1988,241,237
1989,173,170
1990,196,193
1991,252,248
1992,268,264
1993,202,199
1994,197,195
1995,156,154
1996,174,172
1997,159,157
1998,135,134
1999,130,129
2000,161,160
2001,115,114
2002,133,132
2003,123,122
2004,116,115
2005,118,117
2006,124,123
2007,123,122
2008,121,120
2009,118,117
2010,109,108
2011,85,85
2012,74,74
2013,94,94
