YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,12,8
1946,0,0
1947,5,4
1948,9,7
1949,22,17
1950,13,10
1951,10,8
1952,29,23
1953,26,21
1954,29,24
1955,35,29
1956,29,24
1957,37,32
1958,42,36
1959,39,34
1960,35,31
1961,57,51
1962,67,60
1963,61,55
1964,67,61
1965,83,76
1966,90,83
1967,87,80
1968,101,94
1969,118,110
1970,150,141
1971,161,152
1972,149,141
1973,185,175
1974,208,198
1975,196,187
1976,285,273
1977,278,267
1978,221,213
1979,256,247
1980,236,228
1981,191,185
1982,144,140
1983,153,149
1984,173,168
1985,410,400
1986,336,328
1987,311,304
1988,310,304
1989,368,361
1990,366,359
1991,315,310
1992,313,308
1993,247,243
1994,236,232
1995,199,196
1996,218,215
1997,196,193
1998,175,173
1999,170,168
2000,182,180
2001,151,149
2002,143,142
2003,136,135
2004,134,133
2005,130,129
2006,125,124
2007,109,108
2008,112,111
2009,99,98
2010,76,76
2011,60,60
2012,60,60
2013,55,55
2014,51,51
2015,61,61
2016,40,40
2017,36,36
2018,33,33
2019,44,44
2020,34,34
