YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,8,0
1915,7,0
1916,12,1
1917,7,0
1918,7,0
1919,12,1
1920,13,1
1921,19,2
1922,31,4
1923,21,3
1924,34,7
1925,29,7
1926,18,5
1927,26,8
1928,27,9
1929,30,11
1930,23,9
1931,18,7
1932,19,8
1933,17,8
1934,21,10
1935,13,7
1936,24,13
1937,18,11
1938,22,14
1939,26,17
1940,15,10
1941,17,12
1942,31,22
1943,23,17
1944,16,12
1945,14,11
1946,7,5
1947,19,15
1948,13,11
1949,18,15
1950,12,10
1951,19,16
1952,8,7
1953,10,9
1954,11,10
1955,15,13
1956,17,15
1957,12,11
1958,29,26
1959,20,18
1960,10,9
1961,20,18
1962,22,20
1963,10,9
1964,16,15
1965,6,6
1966,11,10
1967,6,6
1968,11,10
1969,9,9
1970,8,8
1971,0,0
1972,0,0
1973,0,0
1974,5,5
1975,0,0
1976,0,0
1977,5,5
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,5,5
