YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,5,0
1921,5,0
1922,12,1
1923,11,1
1924,7,1
1925,0,0
1926,6,1
1927,10,1
1928,9,1
1929,0,0
1930,10,2
1931,8,2
1932,11,3
1933,6,2
1934,7,2
1935,17,6
1936,23,9
1937,16,7
1938,14,7
1939,9,5
1940,17,9
1941,18,10
1942,18,11
1943,40,24
1944,24,15
1945,29,19
1946,34,23
1947,34,24
1948,41,30
1949,37,28
1950,30,23
1951,35,28
1952,35,28
1953,34,28
1954,27,22
1955,30,25
1956,36,30
1957,38,32
1958,37,32
1959,41,36
1960,65,58
1961,52,46
1962,60,54
1963,45,41
1964,54,49
1965,33,30
1966,42,39
1967,27,25
1968,25,23
1969,30,28
1970,22,21
1971,19,18
1972,13,12
1973,30,28
1974,19,18
1975,16,15
1976,9,9
1977,18,17
1978,18,17
1979,21,20
1980,15,15
1981,13,13
1982,14,14
1983,12,12
1984,13,13
1985,8,8
1986,12,12
1987,43,42
1988,47,46
1989,38,37
1990,22,22
1991,26,26
1992,24,24
1993,20,20
1994,15,15
1995,14,14
1996,9,9
1997,10,10
1998,5,5
1999,10,10
2000,13,13
2001,10,10
2002,10,10
2003,6,6
2004,21,21
2005,19,19
2006,19,19
2007,16,16
2008,22,22
2009,19,19
2010,11,11
2011,13,13
2012,16,16
2013,12,12
2014,18,18
2015,8,8
2016,20,20
2017,18,18
2018,13,13
2019,8,8
2020,11,11
