YOB,Born,Alive
1900,0,0
1901,5,0
1902,5,0
1903,6,0
1904,0,0
1905,0,0
1906,0,0
1907,5,0
1908,5,0
1909,0,0
1910,0,0
1911,7,0
1912,7,0
1913,13,0
1914,9,0
1915,16,1
1916,8,0
1917,16,1
1918,14,1
1919,13,1
1920,25,2
1921,15,2
1922,20,3
1923,19,3
1924,19,4
1925,9,2
1926,9,2
1927,18,5
1928,5,2
1929,7,2
1930,14,5
1931,10,4
1932,10,4
1933,12,6
1934,8,4
1935,8,4
1936,0,0
1937,9,5
1938,9,6
1939,0,0
1940,7,5
1941,8,6
1942,0,0
1943,5,4
1944,0,0
1945,5,4
1946,0,0
1947,7,6
1948,5,4
1949,5,4
1950,0,0
1951,0,0
1952,6,5
1953,0,0
1954,5,4
