YOB,Born,Alive
1900,21,0
1901,21,0
1902,24,0
1903,24,0
1904,24,0
1905,22,0
1906,23,0
1907,19,0
1908,34,0
1909,31,0
1910,27,0
1911,33,0
1912,43,1
1913,37,1
1914,66,2
1915,98,4
1916,81,3
1917,85,4
1918,96,5
1919,77,5
1920,73,5
1921,82,8
1922,66,9
1923,68,11
1924,72,14
1925,66,15
1926,70,18
1927,61,18
1928,62,20
1929,64,22
1930,47,18
1931,41,17
1932,45,20
1933,43,20
1934,32,16
1935,30,16
1936,42,23
1937,27,16
1938,30,18
1939,21,14
1940,22,15
1941,27,19
1942,23,16
1943,20,15
1944,16,12
1945,21,16
1946,21,16
1947,16,13
1948,10,8
1949,10,8
1950,13,11
1951,12,10
1952,6,5
1953,14,12
1954,5,4
1955,8,7
1956,0,0
1957,6,5
1958,0,0
1959,7,6
1960,0,0
1961,5,5
1962,7,6
