YOB,Born,Alive
1900,6,0
1901,0,0
1902,7,0
1903,0,0
1904,8,0
1905,8,0
1906,6,0
1907,5,0
1908,0,0
1909,5,0
1910,0,0
1911,7,0
1912,10,0
1913,9,0
1914,9,0
1915,13,0
1916,15,1
1917,21,1
1918,14,1
1919,6,0
1920,21,1
1921,24,2
1922,17,2
1923,18,3
1924,19,4
1925,13,3
1926,12,3
1927,13,4
1928,17,5
1929,14,5
1930,13,5
1931,15,6
1932,12,5
1933,0,0
1934,9,4
1935,8,4
1936,5,3
1937,13,8
1938,9,6
1939,8,5
1940,11,7
1941,10,7
1942,11,8
1943,8,6
1944,9,7
1945,0,0
1946,5,4
1947,14,11
1948,0,0
1949,7,6
1950,0,0
1951,0,0
1952,6,5
1953,8,7
1954,7,6
1955,11,10
1956,11,10
1957,14,13
1958,8,7
1959,10,9
1960,9,8
1961,5,5
1962,9,8
1963,9,8
1964,0,0
1965,5,5
1966,10,9
1967,8,8
1968,7,7
1969,9,9
1970,6,6
1971,0,0
1972,7,7
1973,5,5
1974,5,5
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,7,7
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,7,7
1987,5,5
