YOB,Born,Alive
1900,68,0
1901,61,0
1902,54,0
1903,59,0
1904,58,0
1905,58,0
1906,61,0
1907,73,0
1908,46,0
1909,63,0
1910,55,0
1911,62,1
1912,69,1
1913,65,1
1914,91,3
1915,101,4
1916,94,4
1917,114,6
1918,84,5
1919,104,7
1920,100,7
1921,102,10
1922,91,12
1923,72,12
1924,77,15
1925,80,18
1926,75,19
1927,65,19
1928,52,17
1929,42,15
1930,59,23
1931,54,22
1932,56,25
1933,64,30
1934,39,19
1935,38,20
1936,33,18
1937,48,28
1938,45,28
1939,30,19
1940,29,20
1941,26,18
1942,39,28
1943,21,15
1944,22,16
1945,12,9
1946,21,16
1947,18,14
1948,13,11
1949,20,17
1950,12,10
1951,13,11
1952,7,6
1953,8,7
1954,12,11
1955,10,9
1956,9,8
1957,6,5
1958,0,0
1959,8,7
1960,0,0
1961,0,0
1962,5,5
1963,0,0
1964,6,6
1965,5,5
1966,0,0
1967,0,0
1968,0,0
1969,6,6
