YOB,Born,Alive
1900,9,0
1901,12,0
1902,9,0
1903,13,0
1904,19,0
1905,19,0
1906,20,0
1907,14,0
1908,20,0
1909,20,0
1910,28,0
1911,25,0
1912,29,0
1913,40,0
1914,49,1
1915,62,1
1916,63,1
1917,61,1
1918,68,2
1919,68,2
1920,80,2
1921,72,4
1922,80,6
1923,75,8
1924,98,13
1925,72,11
1926,55,10
1927,72,15
1928,69,16
1929,67,17
1930,69,20
1931,50,16
1932,46,16
1933,43,16
1934,48,20
1935,43,19
1936,47,23
1937,40,21
1938,51,28
1939,30,17
1940,38,23
1941,32,20
1942,33,22
1943,29,20
1944,32,22
1945,30,21
1946,26,19
1947,22,17
1948,21,16
1949,20,16
1950,22,18
1951,22,18
1952,9,7
1953,14,12
1954,14,12
1955,8,7
1956,11,10
1957,10,9
1958,10,9
1959,19,17
1960,11,10
1961,12,11
1962,8,7
1963,8,7
1964,13,12
1965,7,6
1966,7,7
1967,10,9
1968,8,8
1969,5,5
1970,6,6
1971,8,8
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,5,5
1980,8,8
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,5,5
2008,0,0
2009,5,5
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
