YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5,0
1917,0,0
1918,8,0
1919,0,0
1920,8,1
1921,7,1
1922,6,1
1923,0,0
1924,6,1
1925,5,1
1926,7,2
1927,0,0
1928,6,2
1929,7,2
1930,7,3
1931,6,2
1932,6,3
1933,8,4
1934,7,3
1935,0,0
1936,0,0
1937,6,4
1938,0,0
1939,8,5
1940,0,0
1941,0,0
1942,5,4
1943,0,0
1944,0,0
1945,5,4
1946,0,0
1947,0,0
1948,7,6
1949,0,0
1950,0,0
1951,7,6
1952,7,6
1953,9,8
1954,5,4
1955,5,4
1956,5,4
1957,8,7
1958,6,5
1959,5,5
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,6,6
1965,0,0
1966,0,0
1967,0,0
1968,5,5
1969,11,10
1970,14,13
1971,7,7
1972,6,6
1973,6,6
1974,6,6
1975,11,11
1976,8,8
1977,5,5
1978,10,10
1979,5,5
1980,12,12
1981,13,13
1982,10,10
1983,12,12
1984,6,6
1985,11,11
1986,7,7
1987,6,6
1988,7,7
1989,9,9
1990,5,5
