YOB,Born,Alive
1900,29,0
1901,23,0
1902,18,0
1903,21,0
1904,24,0
1905,30,0
1906,27,0
1907,32,0
1908,36,0
1909,39,0
1910,32,0
1911,36,0
1912,54,1
1913,59,1
1914,47,1
1915,69,2
1916,81,3
1917,85,4
1918,79,5
1919,87,6
1920,111,8
1921,91,9
1922,86,11
1923,80,13
1924,90,18
1925,93,21
1926,75,19
1927,77,22
1928,84,27
1929,104,37
1930,75,29
1931,75,31
1932,73,32
1933,58,27
1934,78,39
1935,72,38
1936,56,31
1937,53,31
1938,68,42
1939,49,32
1940,44,30
1941,35,24
1942,42,30
1943,39,28
1944,29,22
1945,27,21
1946,33,26
1947,34,27
1948,44,36
1949,42,35
1950,29,25
1951,33,28
1952,33,28
1953,25,22
1954,27,24
1955,39,34
1956,31,28
1957,25,22
1958,19,17
1959,21,19
1960,34,31
1961,23,21
1962,50,46
1963,72,67
1964,50,47
1965,35,33
1966,38,36
1967,35,33
1968,29,27
1969,36,34
1970,51,49
1971,46,44
1972,58,56
1973,48,46
1974,53,51
1975,57,55
1976,66,64
1977,85,82
1978,56,54
1979,70,68
1980,66,64
1981,53,52
1982,50,49
1983,36,35
1984,36,35
1985,38,37
1986,26,26
1987,20,20
1988,19,19
1989,16,16
1990,25,25
1991,20,20
1992,11,11
1993,21,21
1994,19,19
1995,22,22
1996,24,24
1997,38,38
1998,54,53
1999,55,54
2000,66,65
2001,86,85
2002,91,90
2003,99,98
2004,114,113
2005,103,102
2006,105,104
2007,145,144
2008,176,175
2009,231,230
2010,216,215
2011,294,292
2012,458,456
2013,560,557
