YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,7,0
1913,0,0
1914,9,0
1915,9,0
1916,5,0
1917,11,1
1918,8,0
1919,15,1
1920,18,1
1921,10,1
1922,31,4
1923,23,4
1924,34,7
1925,54,12
1926,45,12
1927,53,15
1928,42,13
1929,55,19
1930,58,22
1931,61,25
1932,68,30
1933,62,29
1934,60,30
1935,73,39
1936,76,42
1937,98,57
1938,100,62
1939,87,56
1940,86,58
1941,95,66
1942,92,65
1943,121,88
1944,108,80
1945,125,95
1946,140,109
1947,140,111
1948,150,122
1949,138,114
1950,146,124
1951,131,112
1952,167,144
1953,132,115
1954,113,99
1955,107,94
1956,123,109
1957,126,113
1958,105,95
1959,94,86
1960,95,87
1961,82,76
1962,76,70
1963,74,69
1964,65,61
1965,62,58
1966,72,68
1967,56,53
1968,49,46
1969,57,54
1970,52,50
1971,38,36
1972,37,35
1973,42,40
1974,48,46
1975,58,56
1976,51,49
1977,35,34
1978,42,41
1979,40,39
1980,24,23
1981,35,34
1982,49,48
1983,42,41
1984,26,25
1985,35,34
1986,26,26
1987,34,33
1988,27,27
1989,31,30
1990,33,33
1991,32,32
1992,28,28
1993,38,37
1994,32,32
1995,23,23
1996,28,28
1997,33,33
1998,33,33
1999,27,27
2000,32,32
2001,27,27
2002,21,21
2003,17,17
2004,20,20
2005,21,21
2006,24,24
2007,15,15
2008,11,11
2009,11,11
2010,17,17
2011,9,9
2012,17,17
2013,15,15
