YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,5,2
1935,0,0
1936,5,3
1937,5,3
1938,7,4
1939,0,0
1940,0,0
1941,5,3
1942,0,0
1943,5,4
1944,6,4
1945,10,8
1946,10,8
1947,15,12
1948,11,9
1949,15,12
1950,12,10
1951,12,10
1952,11,9
1953,18,16
1954,13,11
1955,12,11
1956,16,14
1957,23,21
1958,22,20
1959,37,34
1960,22,20
1961,25,23
1962,17,16
1963,14,13
1964,8,7
1965,6,6
1966,7,7
1967,5,5
1968,7,7
1969,7,7
1970,0,0
1971,0,0
1972,5,5
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,5,5
