YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,6,0
1920,0,0
1921,0,0
1922,13,2
1923,0,0
1924,6,1
1925,8,2
1926,5,1
1927,9,3
1928,9,3
1929,10,4
1930,13,5
1931,10,4
1932,9,4
1933,10,5
1934,9,4
1935,18,10
1936,11,6
1937,21,12
1938,16,10
1939,14,9
1940,23,15
1941,18,12
1942,26,18
1943,16,12
1944,22,16
1945,11,8
1946,24,19
1947,18,14
1948,9,7
1949,21,17
1950,16,14
1951,26,22
1952,12,10
1953,12,10
1954,22,19
1955,6,5
1956,11,10
1957,8,7
1958,10,9
1959,7,6
1960,5,5
1961,11,10
1962,7,6
1963,0,0
1964,12,11
1965,6,6
1966,8,8
1967,6,6
1968,0,0
1969,6,6
1970,6,6
1971,5,5
1972,5,5
1973,6,6
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,5,5
1986,0,0
1987,0,0
1988,0,0
1989,6,6
1990,0,0
1991,0,0
1992,0,0
1993,5,5
