YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,6,0
1919,0,0
1920,6,0
1921,8,1
1922,10,1
1923,8,1
1924,6,1
1925,13,3
1926,6,2
1927,5,1
1928,0,0
1929,11,4
1930,13,5
1931,6,2
1932,12,5
1933,7,3
1934,7,3
1935,26,14
1936,15,8
1937,11,6
1938,9,6
1939,11,7
1940,23,15
1941,27,19
1942,81,57
1943,73,53
1944,78,58
1945,75,57
1946,88,68
1947,97,77
1948,107,87
1949,107,89
1950,78,66
1951,88,75
1952,83,71
1953,73,63
1954,90,79
1955,74,65
1956,70,62
1957,71,64
1958,65,59
1959,65,59
1960,56,51
1961,43,40
1962,56,52
1963,49,45
1964,49,46
1965,42,39
1966,43,40
1967,41,39
1968,30,28
1969,31,29
1970,43,41
1971,23,22
1972,16,15
1973,38,36
1974,21,20
1975,20,19
1976,13,13
1977,15,15
1978,20,19
1979,13,13
1980,8,8
1981,14,14
1982,12,12
1983,0,0
1984,15,15
1985,0,0
1986,11,11
1987,7,7
1988,12,12
1989,11,11
1990,11,11
1991,9,9
1992,5,5
1993,5,5
1994,7,7
1995,5,5
1996,6,6
1997,8,8
