YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,5,0
1908,0,0
1909,6,0
1910,11,0
1911,7,0
1912,5,0
1913,8,0
1914,10,0
1915,17,1
1916,25,1
1917,25,1
1918,16,1
1919,12,1
1920,12,1
1921,19,2
1922,17,2
1923,16,3
1924,29,6
1925,14,3
1926,13,3
1927,14,4
1928,14,4
1929,8,3
1930,17,7
1931,13,5
1932,10,4
1933,12,6
1934,11,5
1935,11,6
1936,0,0
1937,12,7
1938,11,7
1939,6,4
1940,8,5
1941,8,6
1942,12,8
1943,5,4
1944,0,0
1945,6,5
1946,5,4
1947,7,6
1948,0,0
1949,8,7
1950,6,5
1951,5,4
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,8,7
1958,6,5
1959,0,0
1960,5,5
1961,5,5
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,6,6
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,8,8
2001,5,5
2002,6,6
2003,6,6
2004,0,0
2005,8,8
2006,10,10
2007,7,7
2008,8,8
2009,10,10
2010,11,11
2011,9,9
2012,7,7
2013,13,13
