YOB,Born,Alive
1900,35,0
1901,31,0
1902,33,0
1903,29,0
1904,20,0
1905,41,0
1906,38,0
1907,37,0
1908,39,0
1909,43,0
1910,51,0
1911,34,0
1912,40,0
1913,38,0
1914,54,0
1915,54,0
1916,65,0
1917,70,0
1918,56,0
1919,68,1
1920,67,1
1921,52,1
1922,61,3
1923,69,4
1924,68,6
1925,53,5
1926,51,6
1927,64,9
1928,46,7
1929,51,9
1930,48,9
1931,41,9
1932,37,10
1933,43,13
1934,21,7
1935,30,11
1936,35,14
1937,43,19
1938,46,22
1939,31,16
1940,46,25
1941,24,13
1942,40,23
1943,36,22
1944,30,19
1945,30,20
1946,31,21
1947,41,29
1948,32,23
1949,21,16
1950,34,26
1951,33,26
1952,29,23
1953,35,28
1954,25,21
1955,29,24
1956,35,30
1957,25,21
1958,36,31
1959,40,35
1960,39,35
1961,22,20
1962,18,16
1963,18,16
1964,14,13
1965,22,20
1966,20,18
1967,8,7
1968,9,8
1969,8,7
1970,14,13
1971,8,8
1972,5,5
1973,12,11
1974,9,9
1975,6,6
1976,0,0
1977,11,11
1978,0,0
1979,9,9
1980,0,0
1981,0,0
1982,0,0
1983,5,5
1984,10,10
1985,6,6
1986,6,6
1987,11,11
1988,12,12
1989,8,8
1990,6,6
1991,7,7
1992,9,9
1993,14,14
1994,15,15
1995,6,6
1996,9,9
1997,12,12
1998,12,12
1999,7,7
2000,24,24
2001,21,21
2002,19,19
2003,17,17
2004,14,14
2005,13,13
2006,18,18
2007,26,26
2008,23,23
2009,36,36
2010,26,26
2011,39,39
2012,40,40
2013,37,37
2014,48,48
2015,41,41
2016,52,52
2017,48,48
2018,26,26
2019,30,30
2020,21,21
