YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,6,5
1950,5,4
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,7,6
1958,17,15
1959,12,11
1960,12,11
1961,6,6
1962,14,13
1963,10,9
1964,15,14
1965,10,9
1966,10,9
1967,18,17
1968,22,21
1969,18,17
1970,11,10
1971,22,21
1972,14,13
1973,19,18
1974,8,8
1975,21,20
1976,15,14
1977,11,11
1978,23,22
1979,18,18
1980,33,32
1981,25,24
1982,34,33
1983,28,27
1984,22,22
1985,25,24
1986,25,25
1987,33,32
1988,43,42
1989,36,35
1990,41,40
1991,55,54
1992,67,66
1993,59,58
1994,70,69
1995,66,65
1996,73,72
1997,100,99
1998,90,89
1999,100,99
2000,108,107
2001,112,111
2002,132,131
2003,148,147
2004,142,141
2005,185,184
2006,195,194
2007,232,230
2008,250,248
2009,289,287
2010,382,380
2011,492,489
2012,692,688
2013,730,726
