YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,5,1
1932,9,2
1933,8,2
1934,9,3
1935,13,5
1936,12,5
1937,16,7
1938,14,7
1939,9,5
1940,10,5
1941,8,4
1942,12,7
1943,21,13
1944,18,11
1945,13,9
1946,25,17
1947,22,15
1948,25,18
1949,35,26
1950,30,23
1951,26,20
1952,37,30
1953,46,37
1954,56,46
1955,52,43
1956,61,51
1957,54,46
1958,51,44
1959,53,46
1960,61,54
1961,77,69
1962,83,75
1963,62,56
1964,53,48
1965,53,48
1966,57,52
1967,55,51
1968,49,46
1969,58,54
1970,50,47
1971,56,53
1972,48,45
1973,62,59
1974,41,39
1975,43,41
1976,31,30
1977,39,37
1978,32,31
1979,41,40
1980,24,23
1981,33,32
1982,32,31
1983,30,29
1984,30,29
1985,36,35
1986,21,21
1987,22,22
1988,29,28
1989,18,18
1990,16,16
1991,16,16
1992,20,20
1993,17,17
1994,17,17
1995,8,8
1996,13,13
1997,13,13
1998,13,13
1999,9,9
2000,5,5
2001,9,9
2002,15,15
2003,9,9
2004,6,6
2005,12,12
2006,6,6
2007,9,9
2008,13,13
2009,7,7
2010,13,13
2011,12,12
2012,12,12
2013,13,13
2014,12,12
2015,11,11
2016,7,7
2017,9,9
2018,10,10
2019,10,10
2020,8,8
