YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,6,0
1911,0,0
1912,0,0
1913,0,0
1914,6,0
1915,8,0
1916,5,0
1917,8,0
1918,14,0
1919,9,0
1920,12,0
1921,7,0
1922,11,1
1923,17,1
1924,11,1
1925,11,1
1926,12,1
1927,12,2
1928,16,2
1929,16,3
1930,5,1
1931,0,0
1932,9,2
1933,8,2
1934,10,3
1935,10,4
1936,9,4
1937,9,4
1938,8,4
1939,13,7
1940,16,9
1941,16,9
1942,0,0
1943,10,6
1944,9,6
1945,9,6
1946,15,10
1947,18,13
1948,12,9
1949,23,17
1950,16,12
1951,29,23
1952,20,16
1953,38,31
1954,24,20
1955,39,32
1956,30,25
1957,26,22
1958,29,25
1959,48,42
1960,44,39
1961,45,40
1962,56,50
1963,37,33
1964,44,40
1965,42,38
1966,40,37
1967,35,32
1968,41,38
1969,27,25
1970,50,47
1971,34,32
1972,33,31
1973,24,23
1974,24,23
1975,29,28
1976,23,22
1977,26,25
1978,10,10
1979,18,17
1980,31,30
1981,21,20
1982,22,21
1983,19,18
1984,21,20
1985,9,9
1986,19,19
1987,8,8
1988,8,8
1989,15,15
1990,7,7
1991,12,12
1992,0,0
1993,0,0
1994,0,0
1995,5,5
1996,0,0
1997,0,0
1998,5,5
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
