YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,5,3
1943,0,0
1944,0,0
1945,6,4
1946,11,8
1947,11,8
1948,12,9
1949,16,13
1950,14,11
1951,23,19
1952,18,15
1953,34,29
1954,43,37
1955,41,35
1956,53,46
1957,60,53
1958,62,55
1959,61,55
1960,86,78
1961,116,105
1962,94,86
1963,121,111
1964,102,94
1965,126,117
1966,170,158
1967,193,180
1968,229,215
1969,281,265
1970,257,243
1971,225,214
1972,264,251
1973,248,237
1974,202,193
1975,187,179
1976,167,161
1977,156,150
1978,182,176
1979,208,202
1980,187,182
1981,195,190
1982,164,160
1983,184,179
1984,152,148
1985,187,183
1986,201,197
1987,214,210
1988,216,212
1989,241,237
1990,214,210
1991,218,215
1992,160,158
1993,180,177
1994,151,149
1995,128,126
1996,134,132
1997,88,87
1998,85,84
1999,86,85
2000,65,64
2001,60,59
2002,77,76
2003,66,65
2004,63,62
2005,50,50
2006,57,57
2007,59,59
2008,59,59
2009,68,68
2010,53,53
2011,34,34
2012,43,43
2013,34,34
2014,22,22
2015,25,25
2016,21,21
2017,25,25
