YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,5,2
1934,0,0
1935,0,0
1936,0,0
1937,5,3
1938,0,0
1939,0,0
1940,7,5
1941,9,6
1942,15,11
1943,22,16
1944,11,8
1945,28,21
1946,28,22
1947,30,24
1948,29,24
1949,45,37
1950,39,33
1951,73,62
1952,84,72
1953,196,170
1954,282,247
1955,303,267
1956,404,359
1957,378,339
1958,508,459
1959,648,590
1960,443,407
1961,474,437
1962,517,478
1963,403,374
1964,400,373
1965,345,323
1966,248,233
1967,236,222
1968,256,242
1969,236,224
1970,239,228
1971,193,184
1972,137,131
1973,126,121
1974,118,113
1975,102,98
1976,71,69
1977,69,67
1978,73,71
1979,64,62
1980,56,55
1981,50,49
1982,40,39
1983,40,39
1984,34,33
1985,25,24
1986,41,40
1987,26,26
1988,41,40
1989,32,31
1990,42,41
1991,31,31
1992,34,34
1993,20,20
1994,21,21
1995,7,7
1996,17,17
1997,12,12
1998,14,14
1999,7,7
2000,6,6
2001,11,11
2002,7,7
2003,7,7
2004,0,0
2005,10,10
2006,9,9
2007,8,8
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,5,5
2013,8,8
