YOB,Born,Alive
1900,5,0
1901,7,0
1902,0,0
1903,10,0
1904,14,0
1905,16,0
1906,14,0
1907,12,0
1908,11,0
1909,17,0
1910,21,0
1911,38,0
1912,45,1
1913,65,1
1914,95,3
1915,120,4
1916,147,6
1917,170,9
1918,177,10
1919,183,12
1920,216,15
1921,234,24
1922,234,31
1923,263,43
1924,255,50
1925,250,57
1926,263,68
1927,301,87
1928,270,86
1929,221,78
1930,258,99
1931,233,96
1932,186,82
1933,145,68
1934,148,74
1935,133,70
1936,148,82
1937,121,71
1938,159,98
1939,148,95
1940,160,108
1941,172,119
1942,195,138
1943,196,142
1944,164,122
1945,180,137
1946,195,152
1947,243,193
1948,238,193
1949,216,179
1950,271,229
1951,246,210
1952,279,240
1953,234,203
1954,233,204
1955,298,263
1956,374,333
1957,334,299
1958,342,309
1959,328,299
1960,296,272
1961,308,284
1962,289,267
1963,267,248
1964,283,264
1965,281,263
1966,233,219
1967,192,181
1968,181,171
1969,200,190
1970,187,178
1971,157,150
1972,139,133
1973,141,135
1974,119,114
1975,95,92
1976,111,107
1977,117,113
1978,84,82
1979,92,89
1980,85,83
1981,87,85
1982,80,78
1983,70,68
1984,82,80
1985,74,73
1986,71,70
1987,57,56
1988,80,79
1989,66,65
1990,55,54
1991,59,58
1992,62,61
1993,72,71
1994,43,42
1995,65,64
1996,49,48
1997,40,40
1998,52,51
1999,44,44
2000,50,50
2001,53,53
2002,34,34
2003,53,53
2004,65,65
2005,62,62
2006,66,66
2007,72,72
2008,94,93
2009,98,97
2010,112,111
2011,140,139
2012,141,140
2013,171,170
