YOB,Born,Alive
1900,9,0
1901,0,0
1902,5,0
1903,11,0
1904,0,0
1905,8,0
1906,0,0
1907,6,0
1908,0,0
1909,0,0
1910,10,0
1911,5,0
1912,5,0
1913,10,0
1914,7,0
1915,14,0
1916,17,0
1917,16,0
1918,15,0
1919,16,0
1920,15,0
1921,10,1
1922,19,2
1923,14,1
1924,12,2
1925,13,2
1926,16,3
1927,10,2
1928,11,3
1929,13,3
1930,9,3
1931,13,4
1932,23,8
1933,9,3
1934,15,6
1935,16,7
1936,18,9
1937,14,7
1938,16,9
1939,12,7
1940,16,10
1941,13,8
1942,23,15
1943,36,24
1944,30,21
1945,28,20
1946,34,25
1947,52,39
1948,37,29
1949,44,35
1950,43,35
1951,43,35
1952,48,40
1953,58,49
1954,58,49
1955,45,39
1956,46,40
1957,52,46
1958,32,28
1959,32,29
1960,44,40
1961,37,34
1962,31,28
1963,38,35
1964,15,14
1965,13,12
1966,14,13
1967,11,10
1968,13,12
1969,14,13
1970,0,0
1971,15,14
1972,8,8
1973,7,7
1974,8,8
1975,9,9
1976,7,7
1977,15,14
1978,12,12
1979,16,16
1980,15,15
1981,11,11
1982,13,13
1983,12,12
1984,7,7
1985,13,13
1986,22,22
1987,9,9
1988,17,17
1989,15,15
1990,13,13
1991,12,12
1992,17,17
1993,21,21
1994,13,13
1995,14,14
1996,10,10
1997,13,13
1998,12,12
1999,9,9
2000,21,21
2001,25,25
2002,43,43
2003,41,41
2004,63,62
2005,84,83
2006,80,79
2007,108,107
2008,135,134
2009,145,144
2010,121,120
2011,94,93
2012,120,119
2013,93,93
2014,99,99
2015,80,80
2016,58,58
2017,58,58
