YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,6,0
1910,7,0
1911,0,0
1912,5,0
1913,8,0
1914,9,0
1915,14,1
1916,13,1
1917,13,1
1918,15,1
1919,8,1
1920,22,2
1921,20,2
1922,23,3
1923,31,5
1924,21,4
1925,19,4
1926,18,5
1927,23,7
1928,21,7
1929,21,7
1930,17,7
1931,13,5
1932,23,10
1933,13,6
1934,13,6
1935,14,7
1936,15,8
1937,11,6
1938,6,4
1939,9,6
1940,15,10
1941,13,9
1942,15,11
1943,9,7
1944,18,13
1945,10,8
1946,19,15
1947,8,6
1948,19,15
1949,7,6
1950,15,13
1951,9,8
1952,10,9
1953,7,6
1954,12,11
1955,8,7
1956,6,5
1957,10,9
1958,7,6
1959,0,0
1960,9,8
1961,0,0
1962,0,0
1963,5,5
