YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,5,0
1916,5,0
1917,6,0
1918,8,0
1919,8,0
1920,9,0
1921,10,1
1922,5,0
1923,7,1
1924,8,1
1925,11,2
1926,11,2
1927,7,1
1928,8,2
1929,8,2
1930,8,2
1931,9,3
1932,10,4
1933,11,4
1934,9,4
1935,6,3
1936,8,4
1937,8,4
1938,9,5
1939,0,0
1940,6,4
1941,8,5
1942,6,4
1943,7,5
1944,6,4
1945,6,4
1946,5,4
1947,0,0
1948,5,4
1949,5,4
1950,0,0
1951,0,0
1952,0,0
1953,5,4
1954,0,0
1955,0,0
1956,0,0
1957,5,4
1958,0,0
1959,6,5
1960,0,0
1961,0,0
1962,0,0
1963,5,5
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,5,5
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,5,5
1988,6,6
1989,0,0
1990,0,0
1991,10,10
1992,0,0
1993,5,5
1994,0,0
1995,5,5
1996,7,7
1997,6,6
1998,0,0
1999,0,0
2000,5,5
2001,0,0
2002,0,0
2003,9,9
2004,5,5
2005,0,0
2006,5,5
2007,6,6
2008,0,0
2009,0,0
2010,7,7
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
