YOB,Born,Alive
1900,8,0
1901,6,0
1902,6,0
1903,11,0
1904,10,0
1905,10,0
1906,5,0
1907,11,0
1908,14,0
1909,19,0
1910,11,0
1911,15,0
1912,11,0
1913,24,0
1914,21,0
1915,33,0
1916,38,1
1917,32,1
1918,31,1
1919,49,1
1920,59,2
1921,61,3
1922,55,4
1923,66,7
1924,64,8
1925,87,14
1926,59,11
1927,80,17
1928,73,17
1929,82,21
1930,71,20
1931,61,19
1932,81,28
1933,45,17
1934,71,30
1935,67,30
1936,62,30
1937,72,37
1938,50,27
1939,56,32
1940,59,36
1941,54,34
1942,49,32
1943,48,32
1944,49,34
1945,55,39
1946,50,37
1947,61,46
1948,59,46
1949,47,37
1950,46,37
1951,46,38
1952,35,29
1953,54,45
1954,40,34
1955,33,28
1956,32,28
1957,27,24
1958,18,16
1959,28,25
1960,24,22
1961,18,16
1962,16,15
1963,15,14
1964,18,17
1965,0,0
1966,10,9
1967,13,12
1968,7,7
1969,7,7
1970,0,0
1971,0,0
1972,0,0
1973,9,9
1974,0,0
1975,6,6
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
