YOB,Born,Alive
1900,7,0
1901,5,0
1902,0,0
1903,8,0
1904,0,0
1905,0,0
1906,10,0
1907,7,0
1908,10,0
1909,8,0
1910,15,0
1911,20,0
1912,19,0
1913,27,0
1914,42,0
1915,51,0
1916,54,0
1917,46,0
1918,65,1
1919,69,1
1920,44,0
1921,65,2
1922,69,3
1923,59,4
1924,58,5
1925,52,5
1926,63,7
1927,46,6
1928,31,5
1929,51,9
1930,42,8
1931,43,10
1932,35,9
1933,29,9
1934,28,9
1935,25,9
1936,10,4
1937,11,5
1938,18,8
1939,17,9
1940,16,9
1941,14,8
1942,13,8
1943,15,9
1944,14,9
1945,10,7
1946,6,4
1947,16,11
1948,12,9
1949,12,9
1950,14,11
1951,13,10
1952,6,5
1953,7,6
1954,8,7
1955,13,11
1956,9,8
1957,11,9
1958,20,17
1959,16,14
1960,19,17
1961,15,13
1962,11,10
1963,26,23
1964,13,12
1965,13,12
1966,20,18
1967,24,22
1968,28,26
1969,20,19
1970,27,25
1971,26,25
1972,25,24
1973,32,30
1974,23,22
1975,29,28
1976,35,33
1977,30,29
1978,18,17
1979,36,35
1980,41,40
1981,28,27
1982,22,21
1983,19,18
1984,39,38
1985,38,37
1986,33,32
1987,34,33
1988,36,35
1989,30,29
1990,31,30
1991,30,29
1992,38,37
1993,35,34
1994,29,29
1995,23,23
1996,29,29
1997,27,27
1998,25,25
1999,40,40
2000,34,34
2001,29,29
2002,24,24
2003,23,23
2004,24,24
2005,23,23
2006,16,16
2007,21,21
2008,16,16
2009,16,16
2010,18,18
2011,11,11
2012,11,11
2013,19,19
2014,23,23
2015,8,8
2016,13,13
2017,13,13
2018,20,20
2019,14,14
2020,18,18
