YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,5,4
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,8,7
1959,6,5
1960,7,6
1961,0,0
1962,5,4
1963,9,8
1964,16,15
1965,12,11
1966,14,13
1967,15,14
1968,21,20
1969,16,15
1970,21,20
1971,16,15
1972,25,24
1973,19,18
1974,32,30
1975,30,29
1976,43,41
1977,56,54
1978,46,44
1979,74,71
1980,84,81
1981,79,77
1982,89,86
1983,85,83
1984,108,105
1985,134,131
1986,128,125
1987,166,162
1988,145,142
1989,181,177
1990,220,216
1991,253,249
1992,253,249
1993,286,281
1994,285,281
1995,345,340
1996,387,382
1997,377,372
1998,391,386
1999,446,441
2000,465,460
2001,480,475
2002,528,523
2003,642,636
2004,623,617
2005,656,650
2006,720,714
2007,818,812
2008,797,791
2009,786,781
2010,741,736
2011,701,697
2012,756,752
2013,724,720
2014,714,710
2015,721,717
2016,645,642
2017,720,717
2018,755,752
2019,727,724
2020,644,641
