YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,5,3
1938,0,0
1939,0,0
1940,8,5
1941,5,3
1942,0,0
1943,0,0
1944,0,0
1945,5,4
1946,7,5
1947,0,0
1948,5,4
1949,5,4
1950,5,4
1951,8,7
1952,0,0
1953,0,0
1954,6,5
1955,11,9
1956,10,9
1957,5,4
1958,8,7
1959,7,6
1960,5,5
1961,5,5
1962,7,6
1963,0,0
1964,0,0
1965,0,0
1966,7,7
1967,5,5
1968,8,8
1969,6,6
1970,7,7
1971,15,14
1972,6,6
1973,7,7
1974,0,0
1975,12,12
1976,5,5
1977,0,0
1978,0,0
1979,6,6
1980,7,7
1981,5,5
1982,0,0
1983,6,6
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,7,7
2016,6,6
2017,9,9
