YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,5,3
1936,5,3
1937,7,4
1938,5,3
1939,6,4
1940,10,7
1941,7,5
1942,14,10
1943,20,15
1944,15,11
1945,13,10
1946,26,20
1947,24,19
1948,26,21
1949,29,24
1950,44,37
1951,37,32
1952,33,28
1953,37,32
1954,30,26
1955,27,24
1956,29,26
1957,29,26
1958,34,31
1959,28,25
1960,29,27
1961,31,29
1962,32,30
1963,40,37
1964,36,34
1965,39,36
1966,36,34
1967,28,26
1968,29,27
1969,37,35
1970,30,29
1971,16,15
1972,23,22
1973,23,22
1974,11,11
1975,21,20
1976,15,14
1977,18,17
1978,13,13
1979,13,13
1980,0,0
1981,13,13
1982,5,5
1983,13,13
1984,14,14
1985,18,18
1986,16,16
1987,31,30
1988,34,33
1989,22,22
1990,17,17
1991,22,22
1992,17,17
1993,13,13
1994,17,17
1995,11,11
1996,15,15
1997,8,8
1998,11,11
1999,5,5
2000,8,8
2001,9,9
2002,9,9
2003,0,0
2004,0,0
2005,5,5
2006,0,0
2007,5,5
