YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,5,0
1915,5,0
1916,10,0
1917,9,0
1918,5,0
1919,7,0
1920,10,0
1921,12,0
1922,10,0
1923,7,0
1924,7,1
1925,9,1
1926,0,0
1927,11,1
1928,19,3
1929,10,2
1930,0,0
1931,11,2
1932,17,4
1933,18,5
1934,17,6
1935,67,24
1936,1071,427
1937,1997,866
1938,1713,802
1939,1165,586
1940,1006,541
1941,826,464
1942,599,351
1943,491,299
1944,367,232
1945,333,219
1946,397,270
1947,369,260
1948,266,194
1949,241,181
1950,248,192
1951,232,182
1952,228,182
1953,262,212
1954,310,254
1955,344,286
1956,345,291
1957,367,314
1958,382,331
1959,357,313
1960,308,274
1961,388,347
1962,368,331
1963,370,334
1964,317,288
1965,274,250
1966,304,279
1967,293,271
1968,320,298
1969,325,304
1970,400,376
1971,556,524
1972,754,713
1973,677,642
1974,799,760
1975,746,712
1976,575,550
1977,553,531
1978,483,465
1979,428,413
1980,482,467
1981,512,496
1982,435,422
1983,643,625
1984,1042,1015
1985,884,862
1986,900,879
1987,898,878
1988,881,863
1989,1203,1180
1990,3517,3454
1991,10219,10043
1992,9396,9241
1993,8122,7994
1994,7545,7432
1995,7632,7523
1996,7949,7841
1997,6700,6614
1998,5893,5822
1999,5018,4961
2000,4560,4512
2001,4369,4324
2002,3961,3922
2003,3535,3502
2004,2988,2961
2005,2839,2815
2006,2618,2597
2007,2350,2332
2008,2145,2129
2009,1934,1921
2010,1679,1668
2011,1460,1451
2012,1445,1436
2013,1235,1228
2014,1112,1106
2015,1077,1071
2016,981,976
2017,835,831
2018,735,732
2019,632,629
2020,599,597
