YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,9,7
1950,5,4
1951,0,0
1952,6,5
1953,5,4
1954,14,12
1955,18,16
1956,21,19
1957,12,11
1958,25,23
1959,22,20
1960,21,19
1961,33,30
1962,41,38
1963,41,38
1964,36,34
1965,45,42
1966,59,55
1967,59,56
1968,71,67
1969,67,64
1970,91,87
1971,122,117
1972,124,119
1973,118,113
1974,140,135
1975,125,120
1976,152,147
1977,133,129
1978,169,164
1979,193,188
1980,198,193
1981,237,231
1982,227,222
1983,181,177
1984,156,153
1985,177,173
1986,120,118
1987,149,146
1988,116,114
1989,95,93
1990,83,82
1991,80,79
1992,57,56
1993,32,32
1994,25,25
1995,17,17
1996,18,18
1997,10,10
1998,10,10
1999,8,8
2000,11,11
2001,9,9
2002,0,0
2003,5,5
2004,8,8
2005,0,0
2006,5,5
2007,0,0
2008,5,5
