YOB,Born,Alive
1900,12,0
1901,10,0
1902,12,0
1903,13,0
1904,5,0
1905,10,0
1906,8,0
1907,11,0
1908,9,0
1909,15,0
1910,19,0
1911,16,0
1912,30,0
1913,17,0
1914,24,0
1915,34,0
1916,43,0
1917,41,0
1918,43,0
1919,54,0
1920,42,0
1921,42,1
1922,36,2
1923,55,4
1924,28,2
1925,36,4
1926,47,6
1927,43,6
1928,35,5
1929,22,4
1930,30,6
1931,37,8
1932,15,4
1933,28,8
1934,25,8
1935,41,15
1936,37,15
1937,33,14
1938,46,22
1939,44,22
1940,48,26
1941,44,25
1942,57,33
1943,50,30
1944,58,37
1945,58,38
1946,82,56
1947,72,51
1948,80,58
1949,94,71
1950,99,77
1951,127,100
1952,130,104
1953,131,106
1954,136,112
1955,231,192
1956,235,198
1957,255,218
1958,252,218
1959,244,214
1960,229,203
1961,267,239
1962,265,238
1963,252,228
1964,261,237
1965,296,271
1966,274,252
1967,283,262
1968,290,270
1969,326,305
1970,298,280
1971,295,278
1972,315,298
1973,289,274
1974,356,339
1975,346,330
1976,332,318
1977,323,310
1978,318,306
1979,352,340
1980,317,307
1981,343,333
1982,345,335
1983,314,305
1984,294,286
1985,329,321
1986,322,314
1987,265,259
1988,363,355
1989,359,352
1990,370,363
1991,374,368
1992,372,366
1993,327,322
1994,324,319
1995,304,300
1996,294,290
1997,260,257
1998,266,263
1999,243,240
2000,258,255
2001,263,260
2002,210,208
2003,239,237
2004,235,233
2005,248,246
2006,244,242
2007,240,238
2008,205,204
2009,238,236
2010,186,185
2011,188,187
2012,184,183
2013,187,186
2014,199,198
2015,170,169
2016,169,168
2017,143,142
2018,160,159
2019,180,179
2020,156,155
