YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,5,4
1950,0,0
1951,7,6
1952,0,0
1953,5,4
1954,0,0
1955,0,0
1956,0,0
1957,5,4
1958,0,0
1959,0,0
1960,0,0
1961,12,11
1962,0,0
1963,0,0
1964,6,6
1965,0,0
1966,6,6
1967,15,14
1968,21,20
1969,20,19
1970,28,27
1971,18,17
1972,33,32
1973,22,21
1974,30,29
1975,31,30
1976,22,21
1977,35,34
1978,29,28
1979,27,26
1980,44,43
1981,42,41
1982,35,34
1983,31,30
1984,41,40
1985,53,52
1986,45,44
1987,51,50
1988,68,67
1989,63,62
1990,76,75
1991,76,75
1992,65,64
1993,56,55
1994,59,58
1995,47,46
1996,46,45
1997,30,30
1998,45,45
1999,32,32
2000,35,35
2001,40,40
2002,29,29
2003,30,30
2004,27,27
2005,29,29
2006,28,28
2007,28,28
2008,23,23
2009,25,25
2010,17,17
2011,24,24
2012,16,16
