YOB,Born,Alive
1900,0,0
1901,0,0
1902,9,0
1903,7,0
1904,9,0
1905,10,0
1906,10,0
1907,15,0
1908,10,0
1909,11,0
1910,21,0
1911,17,0
1912,29,0
1913,33,0
1914,51,1
1915,65,1
1916,85,1
1917,69,1
1918,75,2
1919,69,2
1920,75,2
1921,51,3
1922,45,4
1923,36,4
1924,38,5
1925,17,3
1926,18,3
1927,22,5
1928,24,6
1929,14,4
1930,7,2
1931,8,3
1932,8,3
1933,5,2
1934,0,0
1935,5,2
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,6,4
1942,5,3
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,10,8
1949,17,14
1950,17,14
1951,9,7
1952,10,8
1953,15,13
1954,13,11
1955,9,8
1956,11,10
1957,10,9
1958,9,8
1959,12,11
1960,13,12
1961,20,18
1962,8,7
1963,13,12
1964,14,13
1965,21,19
1966,28,26
1967,30,28
1968,33,31
1969,40,38
1970,52,49
1971,45,43
1972,59,56
1973,41,39
1974,41,39
1975,44,42
1976,27,26
1977,21,20
1978,33,32
1979,20,19
1980,26,25
1981,28,27
1982,33,32
1983,21,20
1984,29,28
1985,27,26
1986,37,36
1987,32,31
1988,46,45
1989,27,27
1990,30,30
1991,49,48
1992,56,55
1993,52,51
1994,26,26
1995,33,33
1996,64,63
1997,34,34
1998,44,44
1999,59,58
2000,46,46
2001,55,54
2002,42,42
2003,51,51
2004,46,46
2005,55,55
2006,41,41
2007,40,40
2008,31,31
2009,33,33
2010,38,38
2011,32,32
2012,42,42
2013,25,25
2014,27,27
2015,30,30
2016,25,25
2017,25,25
