YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,8,0
1921,5,0
1922,16,1
1923,5,1
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,6,2
1935,15,7
1936,15,7
1937,16,8
1938,23,13
1939,25,14
1940,39,24
1941,20,13
1942,51,33
1943,48,32
1944,41,28
1945,41,29
1946,67,49
1947,65,49
1948,46,36
1949,42,33
1950,38,31
1951,26,21
1952,54,45
1953,49,41
1954,44,37
1955,45,39
1956,68,59
1957,85,75
1958,167,148
1959,161,144
1960,145,131
1961,170,155
1962,227,207
1963,199,183
1964,183,169
1965,130,120
1966,111,103
1967,108,101
1968,81,76
1969,77,73
1970,75,71
1971,61,58
1972,58,55
1973,47,45
1974,43,41
1975,37,35
1976,40,38
1977,57,55
1978,38,37
1979,53,51
1980,43,42
1981,41,40
1982,39,38
1983,35,34
1984,26,25
1985,22,22
1986,31,30
1987,27,26
1988,22,22
1989,30,29
1990,18,18
1991,25,25
1992,28,28
1993,18,18
1994,21,21
1995,16,16
1996,15,15
1997,20,20
1998,8,8
1999,23,23
2000,11,11
2001,20,20
2002,16,16
2003,14,14
2004,19,19
2005,17,17
2006,18,18
2007,31,31
2008,19,19
2009,15,15
2010,23,23
2011,17,17
2012,22,22
2013,23,23
2014,17,17
2015,17,17
2016,20,20
2017,16,16
