YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,5,5
1962,0,0
1963,0,0
1964,6,6
1965,9,8
1966,9,8
1967,12,11
1968,13,12
1969,9,9
1970,13,12
1971,12,11
1972,19,18
1973,20,19
1974,22,21
1975,27,26
1976,33,32
1977,28,27
1978,34,33
1979,28,27
1980,35,34
1981,26,25
1982,17,17
1983,25,24
1984,32,31
1985,24,24
1986,19,19
1987,10,10
1988,13,13
1989,16,16
1990,27,27
1991,11,11
1992,15,15
1993,6,6
1994,8,8
1995,0,0
1996,7,7
1997,5,5
1998,0,0
1999,7,7
2000,0,0
2001,5,5
