YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,7,4
1940,13,7
1941,14,8
1942,21,12
1943,24,15
1944,27,17
1945,28,18
1946,56,38
1947,46,32
1948,73,53
1949,90,68
1950,102,79
1951,99,78
1952,140,112
1953,151,122
1954,259,213
1955,432,359
1956,452,381
1957,463,396
1958,467,404
1959,610,535
1960,685,608
1961,941,841
1962,1094,983
1963,1129,1020
1964,1242,1129
1965,1168,1068
1966,1288,1184
1967,1291,1194
1968,2185,2031
1969,3520,3291
1970,5329,5010
1971,6335,5973
1972,7231,6838
1973,6707,6361
1974,6655,6331
1975,6457,6160
1976,6023,5763
1977,7197,6907
1978,6329,6091
1979,6808,6571
1980,6284,6083
1981,6367,6172
1982,6524,6334
1983,6273,6099
1984,6283,6117
1985,6101,5949
1986,5084,4964
1987,4445,4347
1988,4607,4511
1989,4370,4285
1990,3824,3755
1991,3325,3268
1992,2836,2789
1993,2476,2437
1994,2188,2155
1995,2023,1994
1996,1899,1873
1997,1768,1745
1998,1637,1617
1999,1392,1376
2000,1338,1324
2001,1159,1147
2002,1060,1050
2003,927,918
2004,977,968
2005,928,920
2006,685,679
2007,581,577
2008,489,485
2009,425,422
2010,355,353
2011,303,301
2012,335,333
2013,281,279
2014,299,297
2015,301,299
2016,261,260
2017,265,264
2018,249,248
2019,254,253
2020,199,198
