YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,7,6
1956,0,0
1957,0,0
1958,0,0
1959,6,5
1960,5,4
1961,5,4
1962,0,0
1963,0,0
1964,6,5
1965,6,5
1966,5,5
1967,7,6
1968,0,0
1969,7,7
1970,6,6
1971,17,16
1972,22,21
1973,25,24
1974,33,31
1975,33,31
1976,34,33
1977,53,51
1978,43,41
1979,45,43
1980,48,46
1981,58,56
1982,53,51
1983,64,62
1984,53,52
1985,65,63
1986,40,39
1987,29,28
1988,42,41
1989,34,33
1990,55,54
1991,30,29
1992,23,23
1993,34,33
1994,24,24
1995,19,19
1996,29,29
1997,21,21
1998,23,23
1999,19,19
2000,20,20
2001,20,20
2002,20,20
2003,13,13
2004,20,20
2005,17,17
2006,16,16
2007,13,13
2008,12,12
2009,16,16
2010,12,12
2011,7,7
2012,11,11
2013,7,7
2014,14,14
2015,11,11
2016,6,6
2017,5,5
2018,5,5
2019,0,0
2020,0,0
