YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,6,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,5,1
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,5,2
1931,0,0
1932,0,0
1933,5,2
1934,0,0
1935,0,0
1936,0,0
1937,5,3
1938,0,0
1939,5,3
1940,0,0
1941,0,0
1942,0,0
1943,10,7
1944,7,5
1945,12,9
1946,13,10
1947,20,16
1948,27,22
1949,32,27
1950,26,22
1951,29,25
1952,24,21
1953,38,33
1954,47,41
1955,43,38
1956,68,60
1957,53,48
1958,62,56
1959,53,48
1960,33,30
1961,40,37
1962,56,52
1963,39,36
1964,49,46
1965,25,23
1966,37,35
1967,31,29
1968,19,18
1969,27,26
1970,26,25
1971,25,24
1972,16,15
1973,16,15
1974,10,10
1975,8,8
1976,13,13
1977,11,11
1978,5,5
1979,8,8
1980,8,8
1981,5,5
1982,0,0
1983,6,6
1984,0,0
1985,0,0
1986,5,5
1987,0,0
1988,5,5
1989,8,8
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,7,7
