YOB,Born,Alive
1900,9,0
1901,14,0
1902,12,0
1903,13,0
1904,20,0
1905,7,0
1906,8,0
1907,9,0
1908,14,0
1909,0,0
1910,9,0
1911,11,0
1912,15,0
1913,16,0
1914,11,0
1915,27,1
1916,32,1
1917,14,1
1918,23,1
1919,16,1
1920,20,1
1921,12,1
1922,15,2
1923,18,3
1924,22,4
1925,10,2
1926,21,5
1927,21,6
1928,20,6
1929,14,5
1930,14,5
1931,14,6
1932,18,8
1933,14,7
1934,14,7
1935,18,10
1936,8,4
1937,7,4
1938,8,5
1939,12,8
1940,10,7
1941,18,12
1942,18,13
1943,13,9
1944,8,6
1945,13,10
1946,17,13
1947,27,21
1948,36,29
1949,36,30
1950,27,23
1951,33,28
1952,31,27
1953,35,30
1954,42,37
1955,34,30
1956,40,36
1957,34,30
1958,41,37
1959,58,53
1960,36,33
1961,45,41
1962,43,40
1963,35,32
1964,45,42
1965,26,24
1966,26,24
1967,24,23
1968,25,24
1969,28,27
1970,22,21
1971,19,18
1972,10,10
1973,14,13
1974,18,17
1975,12,12
1976,11,11
1977,6,6
1978,11,11
1979,10,10
1980,18,18
1981,9,9
1982,10,10
1983,17,17
1984,8,8
1985,7,7
1986,8,8
1987,5,5
1988,11,11
1989,7,7
1990,0,0
1991,6,6
1992,10,10
1993,6,6
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,6,6
1999,0,0
2000,7,7
2001,0,0
2002,6,6
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,7,7
