YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,5,3
1944,0,0
1945,0,0
1946,6,4
1947,6,4
1948,8,6
1949,0,0
1950,5,4
1951,5,4
1952,5,4
1953,7,6
1954,7,6
1955,5,4
1956,12,10
1957,13,11
1958,11,10
1959,11,10
1960,19,17
1961,25,22
1962,24,22
1963,39,35
1964,22,20
1965,16,15
1966,25,23
1967,18,17
1968,16,15
1969,22,21
1970,20,19
1971,25,24
1972,23,22
1973,15,14
1974,19,18
1975,17,16
1976,22,21
1977,22,21
1978,28,27
1979,18,17
1980,25,24
1981,24,23
1982,28,27
1983,29,28
1984,25,24
1985,30,29
1986,36,35
1987,36,35
1988,23,23
1989,39,38
1990,30,29
1991,38,37
1992,36,35
1993,35,34
1994,26,26
1995,45,44
1996,32,32
1997,32,32
1998,19,19
1999,25,25
2000,24,24
2001,18,18
2002,15,15
2003,14,14
2004,13,13
2005,14,14
2006,13,13
2007,0,0
2008,7,7
2009,6,6
2010,9,9
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
