YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,5,4
1947,5,4
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,6,5
1953,7,6
1954,6,5
1955,0,0
1956,8,7
1957,7,6
1958,7,6
1959,12,11
1960,13,12
1961,7,6
1962,8,7
1963,16,15
1964,9,8
1965,11,10
1966,12,11
1967,8,8
1968,9,9
1969,9,9
1970,0,0
1971,14,13
1972,11,11
1973,0,0
1974,0,0
1975,5,5
1976,0,0
1977,6,6
1978,0,0
1979,6,6
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,5,5
1988,0,0
1989,5,5
1990,10,10
1991,6,6
1992,7,7
1993,0,0
1994,11,11
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,5,5
2003,0,0
2004,5,5
