YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,7,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,5,0
1919,10,0
1920,7,0
1921,8,0
1922,8,0
1923,8,1
1924,0,0
1925,8,1
1926,5,1
1927,0,0
1928,6,1
1929,5,1
1930,0,0
1931,5,1
1932,5,1
1933,0,0
1934,0,0
1935,6,2
1936,5,2
1937,7,3
1938,0,0
1939,0,0
1940,0,0
1941,9,5
1942,8,5
1943,7,4
1944,7,4
1945,6,4
1946,0,0
1947,0,0
1948,0,0
1949,7,5
1950,0,0
1951,0,0
1952,10,8
1953,6,5
1954,0,0
1955,8,7
1956,7,6
1957,11,9
1958,9,8
1959,0,0
1960,9,8
1961,0,0
1962,10,9
1963,12,11
1964,16,15
1965,23,21
1966,25,23
1967,28,26
1968,27,25
1969,25,23
1970,18,17
1971,15,14
1972,15,14
1973,13,12
1974,18,17
1975,14,13
1976,8,8
1977,8,8
1978,11,11
1979,11,11
1980,5,5
1981,7,7
1982,12,12
1983,7,7
1984,0,0
1985,7,7
1986,6,6
1987,0,0
1988,5,5
1989,0,0
1990,6,6
1991,5,5
1992,5,5
1993,10,10
1994,19,19
1995,16,16
1996,12,12
1997,5,5
1998,9,9
1999,10,10
2000,9,9
2001,8,8
2002,9,9
2003,0,0
2004,12,12
2005,0,0
2006,0,0
2007,0,0
2008,8,8
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,5,5
2019,0,0
2020,0,0
