YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,5,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,6,4
1949,0,0
1950,11,9
1951,5,4
1952,10,8
1953,5,4
1954,8,7
1955,5,4
1956,5,4
1957,21,18
1958,21,18
1959,22,19
1960,27,24
1961,32,29
1962,36,32
1963,55,50
1964,46,42
1965,60,55
1966,54,50
1967,58,54
1968,44,41
1969,66,62
1970,77,72
1971,68,64
1972,66,62
1973,54,51
1974,64,61
1975,56,53
1976,45,43
1977,59,57
1978,40,38
1979,37,36
1980,30,29
1981,27,26
1982,22,21
1983,18,18
1984,22,21
1985,17,17
1986,9,9
1987,13,13
1988,5,5
1989,6,6
1990,6,6
1991,8,8
1992,5,5
1993,0,0
1994,0,0
1995,6,6
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
