YOB,Born,Alive
1900,21,0
1901,19,0
1902,19,0
1903,17,0
1904,27,0
1905,25,0
1906,25,0
1907,31,0
1908,28,0
1909,47,0
1910,45,0
1911,58,0
1912,87,0
1913,116,0
1914,103,0
1915,171,1
1916,179,1
1917,182,1
1918,202,2
1919,171,1
1920,170,2
1921,190,5
1922,147,7
1923,155,10
1924,172,14
1925,151,15
1926,171,20
1927,195,26
1928,179,28
1929,180,31
1930,222,42
1931,244,55
1932,276,72
1933,293,86
1934,319,105
1935,486,177
1936,453,181
1937,494,214
1938,551,258
1939,622,313
1940,799,430
1941,752,423
1942,1017,596
1943,955,582
1944,914,579
1945,1079,709
1946,1440,980
1947,1553,1094
1948,2131,1551
1949,3052,2294
1950,3028,2348
1951,3558,2799
1952,4263,3401
1953,4590,3714
1954,4917,4034
1955,5514,4586
1956,5911,4983
1957,6228,5321
1958,6918,5989
1959,7306,6407
1960,6716,5966
1961,6674,5963
1962,6334,5692
1963,6172,5578
1964,6618,6016
1965,5648,5163
1966,4815,4427
1967,4757,4398
1968,4552,4232
1969,4299,4019
1970,4131,3883
1971,3680,3470
1972,3193,3020
1973,3042,2885
1974,3183,3028
1975,3227,3079
1976,3387,3241
1977,3269,3137
1978,3300,3176
1979,3407,3289
1980,3612,3497
1981,3611,3501
1982,3988,3872
1983,3903,3795
1984,3722,3624
1985,3880,3783
1986,3617,3532
1987,2964,2898
1988,2767,2710
1989,2561,2511
1990,2427,2383
1991,2380,2339
1992,2348,2309
1993,2176,2142
1994,2010,1980
1995,2182,2151
1996,2082,2054
1997,2224,2195
1998,2142,2116
1999,2038,2015
2000,2016,1995
2001,1981,1961
2002,2106,2085
2003,1912,1894
2004,1904,1887
2005,2034,2017
2006,2751,2729
2007,2424,2405
2008,2505,2487
2009,2318,2302
2010,2065,2052
2011,1957,1945
2012,1863,1852
2013,1879,1868
2014,1886,1876
2015,1878,1868
2016,1964,1954
2017,1819,1810
2018,1799,1791
2019,1889,1881
2020,1867,1859
