YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,5,5
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,6,6
1969,0,0
1970,0,0
1971,6,6
1972,5,5
1973,0,0
1974,5,5
1975,0,0
1976,6,6
1977,0,0
1978,8,8
1979,21,20
1980,13,13
1981,9,9
1982,13,13
1983,13,13
1984,8,8
1985,11,11
1986,12,12
1987,24,24
1988,11,11
1989,17,17
1990,27,27
1991,29,29
1992,34,34
1993,32,32
1994,36,36
1995,37,37
1996,37,37
1997,59,58
1998,62,61
1999,71,70
2000,81,80
2001,85,84
2002,93,92
2003,112,111
2004,127,126
2005,109,108
2006,112,111
2007,107,106
2008,135,134
2009,191,190
2010,191,190
2011,177,176
2012,156,155
2013,138,137
