YOB,Born,Alive
1900,15,0
1901,12,0
1902,7,0
1903,6,0
1904,10,0
1905,12,0
1906,10,0
1907,21,0
1908,10,0
1909,8,0
1910,26,0
1911,66,0
1912,74,0
1913,38,0
1914,40,0
1915,53,0
1916,47,0
1917,48,0
1918,59,0
1919,57,0
1920,54,1
1921,58,2
1922,72,3
1923,79,5
1924,110,9
1925,89,9
1926,81,10
1927,87,12
1928,80,12
1929,58,10
1930,57,11
1931,33,7
1932,34,9
1933,31,9
1934,30,10
1935,30,11
1936,28,11
1937,28,12
1938,21,10
1939,52,26
1940,148,80
1941,93,52
1942,61,36
1943,50,30
1944,46,29
1945,48,32
1946,57,39
1947,50,35
1948,50,36
1949,33,25
1950,40,31
1951,47,37
1952,47,38
1953,35,28
1954,32,26
1955,25,21
1956,22,19
1957,38,32
1958,30,26
1959,25,22
1960,34,30
1961,31,28
1962,24,22
1963,20,18
1964,22,20
1965,11,10
1966,14,13
1967,22,20
1968,9,8
1969,12,11
1970,12,11
1971,10,9
1972,10,9
1973,8,8
1974,10,10
1975,15,14
1976,8,8
1977,15,14
1978,8,8
1979,20,19
1980,9,9
1981,11,11
1982,15,15
1983,8,8
1984,10,10
1985,9,9
1986,9,9
1987,18,18
1988,12,12
1989,12,12
1990,23,23
1991,33,32
1992,26,26
1993,35,34
1994,33,33
1995,31,31
1996,49,48
1997,37,37
1998,42,41
1999,46,45
2000,60,59
2001,57,56
2002,65,64
2003,96,95
2004,91,90
2005,100,99
2006,113,112
2007,104,103
2008,100,99
2009,151,150
2010,209,208
2011,175,174
2012,190,189
2013,204,203
2014,248,247
2015,241,240
2016,221,220
2017,219,218
2018,198,197
2019,192,191
2020,164,163
