YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,0,0
1908,0,0
1909,6,0
1910,0,0
1911,8,0
1912,7,0
1913,8,0
1914,10,0
1915,12,0
1916,11,0
1917,19,1
1918,18,1
1919,16,1
1920,32,2
1921,22,2
1922,25,3
1923,17,3
1924,29,6
1925,28,6
1926,21,5
1927,19,5
1928,17,5
1929,19,7
1930,20,8
1931,29,12
1932,21,9
1933,27,13
1934,24,12
1935,22,12
1936,18,10
1937,17,10
1938,24,15
1939,33,21
1940,35,24
1941,35,24
1942,34,24
1943,25,18
1944,37,27
1945,19,14
1946,25,19
1947,28,22
1948,29,24
1949,33,27
1950,31,26
1951,22,19
1952,28,24
1953,17,15
1954,15,13
1955,11,10
1956,17,15
1957,11,10
1958,11,10
1959,14,13
1960,9,8
1961,7,6
1962,8,7
1963,13,12
1964,13,12
1965,7,7
1966,0,0
1967,7,7
