YOB,Born,Alive
1900,84,0
1901,55,0
1902,64,0
1903,79,0
1904,91,0
1905,92,0
1906,97,0
1907,106,0
1908,99,0
1909,123,0
1910,134,0
1911,145,1
1912,180,3
1913,208,5
1914,251,7
1915,292,11
1916,316,14
1917,336,17
1918,425,24
1919,382,25
1920,424,30
1921,407,42
1922,416,56
1923,458,75
1924,472,92
1925,518,118
1926,535,138
1927,567,164
1928,500,160
1929,495,174
1930,512,196
1931,450,185
1932,515,227
1933,462,217
1934,486,243
1935,414,219
1936,454,253
1937,405,237
1938,368,226
1939,375,242
1940,374,252
1941,401,277
1942,420,297
1943,364,264
1944,371,276
1945,344,261
1946,300,233
1947,303,241
1948,244,198
1949,294,244
1950,256,217
1951,236,201
1952,276,238
1953,229,199
1954,227,199
1955,236,208
1956,185,165
1957,168,151
1958,165,149
1959,139,127
1960,149,137
1961,138,127
1962,135,125
1963,98,91
1964,109,102
1965,92,86
1966,76,71
1967,74,70
1968,42,40
1969,44,42
1970,50,48
1971,48,46
1972,34,33
1973,29,28
1974,27,26
1975,28,27
1976,24,23
1977,27,26
1978,32,31
1979,34,33
1980,24,23
1981,29,28
1982,26,25
1983,23,22
1984,37,36
1985,23,23
1986,30,29
1987,24,24
1988,32,31
1989,32,31
1990,27,27
1991,30,30
1992,31,31
1993,41,40
1994,47,46
1995,49,48
1996,35,35
1997,33,33
1998,46,46
1999,64,63
2000,56,56
2001,59,59
2002,97,96
2003,95,94
2004,99,98
2005,121,120
2006,116,115
2007,201,200
2008,247,245
2009,252,250
2010,269,267
2011,260,259
2012,384,382
2013,404,402
