YOB,Born,Alive
1900,0,0
1901,5,0
1902,0,0
1903,0,0
1904,0,0
1905,6,0
1906,6,0
1907,0,0
1908,0,0
1909,0,0
1910,6,0
1911,0,0
1912,0,0
1913,11,0
1914,8,0
1915,13,0
1916,6,0
1917,7,0
1918,5,0
1919,7,0
1920,8,1
1921,5,1
1922,7,1
1923,6,1
1924,5,1
1925,0,0
1926,9,2
1927,8,2
1928,0,0
1929,6,2
1930,6,2
1931,9,4
1932,0,0
1933,0,0
1934,5,2
1935,12,6
1936,5,3
1937,6,4
1938,8,5
1939,0,0
1940,6,4
1941,0,0
1942,0,0
1943,5,4
1944,5,4
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,5,4
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,5,5
