YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,17,16
1967,12,11
1968,13,12
1969,9,8
1970,29,27
1971,527,497
1972,471,445
1973,343,325
1974,409,389
1975,494,471
1976,460,440
1977,446,428
1978,423,407
1979,540,521
1980,509,493
1981,513,497
1982,448,435
1983,454,441
1984,415,404
1985,522,509
1986,846,826
1987,2003,1959
1988,1208,1183
1989,1303,1278
1990,1923,1888
1991,1577,1550
1992,1744,1715
1993,1527,1503
1994,1607,1583
1995,1495,1474
1996,1503,1483
1997,1306,1289
1998,1185,1171
1999,1306,1291
2000,1294,1280
2001,1172,1160
2002,1160,1149
2003,1026,1016
2004,950,942
2005,786,779
2006,758,752
2007,679,674
2008,580,576
2009,502,499
2010,407,404
2011,296,294
2012,292,290
2013,239,238
2014,200,199
2015,181,180
2016,183,182
2017,150,149
2018,134,133
2019,131,130
2020,142,141
