YOB,Born,Alive
1900,5,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,5,0
1907,6,0
1908,0,0
1909,0,0
1910,0,0
1911,10,0
1912,15,0
1913,11,0
1914,19,0
1915,32,0
1916,28,0
1917,16,0
1918,17,0
1919,23,0
1920,20,0
1921,24,1
1922,24,1
1923,26,2
1924,27,2
1925,29,3
1926,17,2
1927,28,4
1928,27,4
1929,16,3
1930,21,4
1931,20,4
1932,16,4
1933,11,3
1934,9,3
1935,5,2
1936,6,2
1937,10,4
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,5,3
1946,6,4
1947,10,7
1948,0,0
1949,7,5
1950,0,0
1951,0,0
1952,5,4
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,10,9
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,5,5
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,5,5
1977,0,0
1978,0,0
1979,0,0
1980,5,5
1981,0,0
1982,0,0
1983,6,6
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
