YOB,Born,Alive
1900,21,0
1901,25,0
1902,21,0
1903,20,0
1904,19,0
1905,27,0
1906,22,0
1907,16,0
1908,21,0
1909,23,0
1910,33,0
1911,15,0
1912,45,0
1913,67,0
1914,83,1
1915,94,1
1916,88,1
1917,84,1
1918,85,2
1919,89,2
1920,71,2
1921,90,4
1922,80,5
1923,83,7
1924,75,8
1925,67,9
1926,56,8
1927,54,9
1928,58,11
1929,57,12
1930,48,11
1931,46,12
1932,49,15
1933,46,15
1934,38,14
1935,37,14
1936,33,14
1937,39,18
1938,49,24
1939,34,17
1940,34,19
1941,38,22
1942,35,21
1943,36,22
1944,25,16
1945,31,20
1946,31,21
1947,33,23
1948,33,24
1949,32,24
1950,29,22
1951,32,25
1952,25,19
1953,29,23
1954,19,15
1955,27,22
1956,25,20
1957,32,27
1958,22,18
1959,26,22
1960,30,26
1961,33,29
1962,35,31
1963,33,29
1964,21,19
1965,35,31
1966,37,33
1967,22,20
1968,36,33
1969,24,22
1970,26,24
1971,28,26
1972,24,22
1973,26,24
1974,24,22
1975,25,23
1976,33,31
1977,22,21
1978,35,33
1979,33,31
1980,41,39
1981,50,48
1982,39,37
1983,42,40
1984,43,41
1985,31,30
1986,45,44
1987,46,45
1988,62,60
1989,55,54
1990,66,64
1991,63,62
1992,66,65
1993,65,64
1994,61,60
1995,83,82
1996,88,87
1997,67,66
1998,68,67
1999,93,92
2000,112,111
2001,104,103
2002,112,111
2003,115,114
2004,132,131
2005,130,129
2006,154,153
2007,171,170
2008,147,146
2009,150,149
2010,162,161
2011,163,162
2012,155,154
2013,194,193
