YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,8,0
1916,6,0
1917,14,0
1918,7,0
1919,7,0
1920,6,0
1921,8,0
1922,11,1
1923,7,1
1924,8,1
1925,0,0
1926,0,0
1927,8,1
1928,8,2
1929,8,2
1930,8,2
1931,8,2
1932,8,2
1933,10,3
1934,8,3
1935,9,4
1936,8,3
1937,0,0
1938,10,5
1939,6,3
1940,11,6
1941,6,3
1942,0,0
1943,6,4
1944,0,0
1945,0,0
1946,0,0
1947,6,4
1948,6,4
1949,5,4
1950,0,0
1951,0,0
1952,6,5
1953,6,5
1954,0,0
1955,6,5
1956,0,0
1957,0,0
1958,0,0
1959,5,4
