YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,5,4
1955,6,5
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,7,6
1961,0,0
1962,7,6
1963,13,11
1964,12,10
1965,12,11
1966,18,16
1967,24,21
1968,18,16
1969,27,24
1970,28,26
1971,47,43
1972,42,39
1973,41,38
1974,56,52
1975,66,62
1976,69,65
1977,87,82
1978,104,98
1979,115,109
1980,131,125
1981,149,142
1982,137,131
1983,166,159
1984,205,197
1985,174,168
1986,209,202
1987,197,190
1988,215,208
1989,258,250
1990,272,265
1991,255,248
1992,253,247
1993,264,258
1994,330,323
1995,338,331
1996,359,352
1997,413,406
1998,516,508
1999,609,600
2000,602,594
2001,650,642
2002,743,734
2003,819,810
2004,843,834
2005,872,863
2006,986,977
2007,1011,1002
2008,1126,1117
2009,1213,1204
2010,1218,1209
2011,1383,1374
2012,1465,1457
2013,1723,1715
2014,1817,1810
2015,2215,2209
2016,2436,2432
2017,2600,2598
