YOB,Born,Alive
1900,18,0
1901,5,0
1902,9,0
1903,7,0
1904,8,0
1905,10,0
1906,7,0
1907,11,0
1908,16,0
1909,15,0
1910,12,0
1911,9,0
1912,25,0
1913,26,0
1914,28,0
1915,39,0
1916,39,1
1917,41,1
1918,46,1
1919,39,1
1920,27,1
1921,50,2
1922,53,3
1923,47,4
1924,50,5
1925,46,6
1926,50,7
1927,61,10
1928,59,11
1929,52,11
1930,60,14
1931,61,16
1932,59,17
1933,80,26
1934,74,27
1935,83,32
1936,72,30
1937,78,35
1938,86,42
1939,90,46
1940,86,47
1941,91,52
1942,118,69
1943,119,72
1944,98,62
1945,105,68
1946,127,86
1947,110,76
1948,111,79
1949,84,62
1950,61,46
1951,46,35
1952,40,31
1953,58,46
1954,51,41
1955,61,49
1956,80,66
1957,144,120
1958,173,145
1959,162,138
1960,184,158
1961,189,164
1962,146,127
1963,149,131
1964,125,111
1965,92,82
1966,85,76
1967,60,54
1968,52,47
1969,43,39
1970,48,44
1971,43,40
1972,34,32
1973,36,34
1974,27,25
1975,25,23
1976,24,23
1977,22,21
1978,24,23
1979,23,22
1980,28,27
1981,17,16
1982,30,29
1983,21,20
1984,23,22
1985,15,14
1986,19,18
1987,19,18
1988,31,30
1989,35,34
1990,33,32
1991,28,27
1992,17,17
1993,18,18
1994,10,10
1995,13,13
1996,23,23
1997,15,15
1998,16,16
1999,18,18
2000,17,17
2001,20,20
2002,13,13
2003,10,10
2004,12,12
2005,11,11
2006,11,11
2007,15,15
2008,14,14
2009,12,12
2010,17,17
2011,10,10
2012,17,17
2013,21,21
